generations, group
10,ctrl
3,ctrl
6,ctrl
9,ctrl
7,ctrl
7,ctrl
7,ctrl
10,ctrl
6,ctrl
7,ctrl
9,ctrl
11,ctrl
11,ctrl
11,ctrl
7,ctrl
4,ctrl
7,ctrl
3,ctrl
7,ctrl
9,ctrl
4,ctrl
8,ctrl
11,ctrl
7,ctrl
9,ctrl
6,ctrl
5,ctrl
8,ctrl
6,ctrl
12,ctrl
6,rmg
9,rmg
6,rmg
11,rmg
6,rmg
9,rmg
8,rmg
3,rmg
10,rmg
7,rmg
6,rmg
8,rmg
7,rmg
7,rmg
9,rmg
7,rmg
11,rmg
8,rmg
7,rmg
5,rmg
7,rmg
8,rmg
7,rmg
7,rmg
9,rmg
4,rmg
6,rmg
6,rmg
7,rmg
7,rmg
3,umg
9,umg
5,umg
9,umg
1,umg
7,umg
12,umg
5,umg
7,umg
10,umg
8,umg
14,umg
5,umg
11,umg
7,umg
7,umg
3,umg
8,umg
8,umg
5,umg
6,umg
6,umg
8,umg
5,umg
5,umg
6,umg
8,umg
10,umg
7,umg
9,umg
